housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
39.0,2062.0,588.0,1933.0,570.0,1.3801,97000.0
35.0,1852.0,358.0,1414.0,347.0,4.275,173600.0
9.0,2486.0,626.0,1938.0,525.0,2.1293,151400.0
20.0,37.0,11.0,34.0,8.0,1.2,50000.0
26.0,3535.0,748.0,1322.0,666.0,7.1674,500001.0
24.0,2532.0,555.0,1564.0,507.0,2.3359,92400.0
30.0,6540.0,991.0,3124.0,953.0,6.0663,372600.0
19.0,583.0,113.0,531.0,134.0,1.6838,95800.0
35.0,2370.0,379.0,996.0,380.0,5.7368,287200.0
17.0,2029.0,404.0,1190.0,437.0,2.9554,115000.0
26.0,2159.0,523.0,1331.0,520.0,3.87,264500.0
48.0,1091.0,236.0,632.0,234.0,3.7235,263600.0
34.0,1457.0,239.0,557.0,226.0,3.6181,96500.0
17.0,2142.0,436.0,946.0,412.0,3.7059,146300.0
52.0,2877.0,721.0,1186.0,704.0,3.2645,175000.0
33.0,2921.0,652.0,1124.0,608.0,5.0151,500001.0
9.0,13670.0,2453.0,2811.0,1193.0,3.2589,137900.0
46.0,1130.0,201.0,503.0,196.0,4.4861,246300.0
43.0,2179.0,682.0,2624.0,609.0,1.8641,108200.0
21.0,2281.0,557.0,1510.0,460.0,2.8625,189600.0
13.0,16148.0,3474.0,6159.0,3232.0,1.9961,97800.0
34.0,2795.0,460.0,1267.0,443.0,6.1464,354400.0
36.0,2241.0,419.0,1743.0,448.0,4.6587,161900.0
22.0,2199.0,361.0,1270.0,386.0,5.1149,235700.0
15.0,2016.0,443.0,1015.0,419.0,5.2732,209700.0
29.0,3025.0,477.0,1035.0,452.0,6.112,390600.0
24.0,1702.0,447.0,1240.0,417.0,2.4091,115500.0
20.0,1782.0,896.0,1749.0,823.0,2.2094,75000.0
27.0,2278.0,479.0,995.0,449.0,2.5148,110200.0
21.0,427.0,63.0,182.0,70.0,11.3283,500001.0
3.0,2850.0,544.0,1024.0,515.0,6.0115,175000.0
40.0,1279.0,316.0,1438.0,329.0,2.1774,157600.0
19.0,3068.0,596.0,912.0,554.0,3.775,168000.0
40.0,2108.0,526.0,1922.0,544.0,3.163,137800.0
36.0,1860.0,367.0,794.0,366.0,5.0871,354500.0
10.0,3580.0,491.0,1688.0,467.0,7.7814,288700.0
27.0,1871.0,556.0,2542.0,581.0,2.8427,164400.0
30.0,2369.0,753.0,3259.0,770.0,2.1964,158500.0
3.0,2443.0,637.0,1033.0,548.0,4.1379,183300.0
32.0,2718.0,447.0,1156.0,410.0,5.2497,259300.0
41.0,1562.0,322.0,927.0,277.0,1.3047,44100.0
24.0,1790.0,454.0,1137.0,386.0,2.537,107900.0
29.0,1061.0,202.0,759.0,206.0,4.8646,136800.0
4.0,4308.0,1095.0,1923.0,932.0,3.9356,267000.0
37.0,2250.0,360.0,989.0,329.0,6.1536,366000.0
31.0,1471.0,321.0,841.0,330.0,3.46,232800.0
19.0,2870.0,1021.0,3325.0,978.0,1.7395,162500.0
17.0,3353.0,463.0,1417.0,447.0,5.1721,237100.0
18.0,2807.0,445.0,1315.0,437.0,4.8194,170400.0
43.0,762.0,206.0,854.0,188.0,1.2315,98200.0
21.0,4723.0,882.0,2210.0,768.0,3.8167,258700.0
16.0,2114.0,374.0,1463.0,399.0,3.9241,131500.0
36.0,2463.0,447.0,1125.0,424.0,6.0176,352700.0
20.0,1962.0,334.0,1173.0,349.0,4.1316,162500.0
42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0
41.0,1182.0,346.0,1644.0,346.0,2.1473,115100.0
22.0,4173.0,763.0,1086.0,444.0,2.5562,136200.0
10.0,516.0,107.0,282.0,96.0,4.2788,125000.0
20.0,2355.0,722.0,1848.0,576.0,2.0036,99200.0
44.0,1079.0,275.0,1249.0,249.0,3.0417,141700.0
34.0,2003.0,466.0,1226.0,443.0,3.0613,136700.0
11.0,1720.0,345.0,850.0,326.0,3.2027,128600.0
30.0,4114.0,743.0,1994.0,722.0,4.2227,134400.0
23.0,5495.0,1141.0,2873.0,1004.0,3.9156,224100.0
26.0,6960.0,1454.0,4367.0,1437.0,4.7953,210900.0
39.0,2502.0,546.0,1849.0,518.0,3.8846,164100.0
38.0,3115.0,622.0,1238.0,606.0,2.6083,67000.0
20.0,4600.0,1018.0,1675.0,932.0,5.1999,500001.0
26.0,2553.0,405.0,1337.0,411.0,5.3737,252900.0
17.0,3361.0,925.0,3264.0,914.0,2.2813,145600.0
24.0,2528.0,947.0,2437.0,861.0,2.2746,225000.0
24.0,2741.0,577.0,1551.0,522.0,3.474,70500.0
35.0,1880.0,370.0,926.0,321.0,4.2273,269900.0
8.0,6190.0,1088.0,2967.0,1000.0,3.8616,195100.0
52.0,2045.0,353.0,722.0,327.0,8.0755,500001.0
22.0,3119.0,640.0,786.0,351.0,3.0806,118500.0
6.0,13724.0,2269.0,5860.0,1986.0,3.9617,183000.0
17.0,2492.0,494.0,1278.0,439.0,2.8875,155700.0
29.0,3436.0,731.0,1323.0,676.0,2.4943,122300.0
35.0,2093.0,407.0,1755.0,403.0,3.4115,150400.0
33.0,151.0,83.0,380.0,83.0,1.4224,189600.0
25.0,1630.0,353.0,1546.0,371.0,5.0893,173400.0
25.0,4719.0,745.0,1857.0,739.0,5.0371,180200.0
31.0,1070.0,155.0,426.0,153.0,6.1628,219200.0
35.0,3095.0,594.0,1550.0,576.0,3.575,113500.0
52.0,1375.0,322.0,287.0,184.0,3.9028,500001.0
39.0,1535.0,340.0,1204.0,370.0,2.8482,247200.0
19.0,3666.0,1150.0,2657.0,1090.0,2.9688,202100.0
15.0,4371.0,908.0,1842.0,818.0,2.7797,105500.0
15.0,1448.0,378.0,949.0,300.0,0.8585,45000.0
16.0,1141.0,220.0,563.0,200.0,2.3287,130700.0
14.0,3677.0,863.0,2191.0,785.0,2.6218,69100.0
